occupation_id;label;english_translation;country_code;lang_code;preferred;cc;lc;link_id;status_id;relation_id;comnum;product_id;hisco_id;comtxt;provenance
31257;Restaurangägare;Restaurant keeper;SW;SW;0;SE;sv;22979;0;0;0;0;51030;1;SHD
31258;Restaurangarbetare;Restaurant worker;SW;SW;0;SE;sv;22980;0;0;0;0;53290;1;SHD
31259;Restaurangbetjänt;Waiter;SW;SW;0;SE;sv;22981;0;0;0;0;53210;1;SHD
31260;Restaurangbiträde;Waiter;SW;SW;0;SE;sv;22982;0;0;0;0;53210;1;SHD
31261;Restaurangbiträde;Waiter;SW;SW;0;SE;sv;22983;0;0;0;0;53210;1;SHD
31262;Restaurangchef;Restaurant manager;SW;SW;0;SE;sv;22984;0;0;0;0;21430;1;SHD
31263;Restaurangchef;Restaurant manager;SW;SW;0;SE;sv;22985;0;0;0;0;21430;1;SHD
31264;Restaurangdirektör;Restaurant manager;SW;SW;0;SE;sv;22986;0;0;0;0;21430;1;SHD
31265;Restaurangdräng;Restaurant worker;SW;SW;0;SE;sv;22987;0;0;0;0;53290;1;SHD
31266;Restaurangföreståndare;Restaurant keeper;SW;SW;0;SE;sv;22988;0;0;0;0;21430;1;SHD
31267;Restaurangförestånderska;Restaurant keeper;SW;SW;0;SE;sv;22989;0;0;0;0;51030;1;SHD
31268;Restauranginnehavare;Restaurant keeper;SW;SW;0;SE;sv;22990;0;0;0;0;51030;1;SHD
31269;Restauranginnehaverska;Restaurant keeper;SW;SW;0;SE;sv;22991;0;0;0;0;51030;1;SHD
31270;Restaurangkokerska;Cook;SW;SW;0;SE;sv;22992;0;0;0;0;53150;1;SHD
31271;Restaurangköksbiträde;Cooks helper;SW;SW;0;SE;sv;22993;0;0;0;0;53290;1;SHD
31272;Restauratör;Restaurant keeper;SW;SW;0;SE;sv;22994;0;0;0;0;51030;1;SHD
31273;Restauratöränka;Widow, restaurant keeper;SW;SW;0;SE;sv;22995;11;0;0;0;51030;2;SHD
31274;Restauratörhustru;Wife, restaurant keeper;SW;SW;0;SE;sv;22996;11;0;0;0;51030;2;SHD
31275;Restauratris;Restaurant keeper;SW;SW;0;SE;sv;22997;0;0;0;0;51030;1;SHD
31276;Retuscheringsbiträde;Retoucher;SW;SW;0;SE;sv;22998;0;0;0;0;16390;1;SHD
31277;Retuschör;Retoucher;SW;SW;0;SE;sv;22999;0;0;0;0;16390;1;SHD
31278;Retuschör;Retoucher;SW;SW;0;SE;sv;23000;0;0;0;0;16390;1;SHD
31279;Retuschös;Retoucher;SW;SW;0;SE;sv;23001;0;0;0;0;16390;1;SHD
31280;Reviderläsare;Proofreader;SW;SW;0;SE;sv;23002;0;0;0;0;39940;1;SHD
31281;Revisionsekreterare;Clerk, revision;SW;SW;0;SE;sv;23003;0;0;0;0;30000;1;SHD
31282;Revisionskommissarie;Clerk, revision;SW;SW;0;SE;sv;23004;0;0;0;0;30000;1;SHD
